ID,MAP,Struct,is_display,
0,0,38100,1,126
1,0,30301,1,110
2,0,30300,1,103
3,0,38101,1,107
4,0,32102,1,112
5,0,32201,1,120
6,0,32101,1,313
7,0,34101,1,101
8,0,34300,1,111
9,0,34103,1,106
10,0,34101,1,104
11,0,43410,0,358
12,0,41000,1,302
13,0,41000,1,116
14,0,41000,1,300
15,0,45000,1,312
16,0,40008,1,305
17,0,43400,0,314
18,0,43000,0,301
19,0,46910,1,757
20,0,46640,1,756
21,0,49420,1,190
22,0,46740,1,761
23,0,46630,1,763
24,0,46560,1,755
25,0,46540,1,758
26,0,46620,1,754
27,0,46590,1,760
28,0,46720,1,762
29,0,46550,1,750
30,0,46570,1,759
31,0,46510,1,753
32,0,46050,0,620
33,0,46010,0,633
34,0,46000,0,655
35,0,46060,0,628
36,0,46030,0,637
37,0,46040,0,660
38,0,46020,0,658
39,0,46010,0,651
40,0,46030,0,659
41,0,46030,0,644
42,0,46000,0,645
43,0,46010,0,662
44,0,46040,0,616
45,0,46030,0,617
46,0,46050,0,643
47,0,46000,0,653
48,0,46030,0,654
49,0,46040,0,621
50,0,46030,0,627
51,0,46050,0,646
52,0,46030,0,632
53,0,46020,0,641
54,0,46020,0,661
55,0,46010,0,622
56,0,46040,0,650
57,0,46000,0,619
58,0,46010,0,648
59,0,46000,0,647
60,0,46000,0,618
61,0,46000,0,634
62,0,46010,0,638
63,0,46060,0,652
64,0,46010,0,623
65,0,46060,0,630
66,0,46020,0,640
67,0,46040,0,642
68,0,46060,0,639
69,0,46060,0,656
70,0,46060,0,631
71,0,46060,0,625
72,0,46050,0,657
73,0,46020,0,649
74,0,46060,0,635
75,0,46040,0,624
76,0,46050,0,629
77,0,46050,0,626
78,0,46050,0,615
79,0,46040,0,636
80,0,46605,1,602
81,0,46503,1,604
82,0,46703,1,606
83,0,46504,1,601
84,0,46604,1,605
85,0,46701,1,607
86,0,46606,1,603
87,0,38101,1,117
88,0,34101,1,109
89,0,34103,1,113
90,0,34103,1,100
91,0,34101,1,114
92,0,45000,1,306
93,0,40006,1,310
94,0,43000,0,307
95,1,38101,1,124
96,1,30301,1,113
97,1,30000,1,106
98,1,38100,1,100
99,1,32000,1,111
100,1,32100,1,103
101,1,32200,1,307
102,1,34002,1,313
103,1,34200,1,110
104,1,34100,1,107
105,1,34100,1,104
106,1,45010,1,356
107,1,41000,1,314
108,1,41000,1,305
109,1,41000,1,310
110,1,45000,1,312
111,1,40009,1,308
112,1,43400,0,300
113,1,43501,0,313
114,1,46870,1,757
115,1,46540,1,756
116,1,49430,1,190
117,1,46680,1,763
118,1,46740,1,750
119,1,46660,1,753
120,1,46630,1,761
121,1,46590,1,762
122,1,46650,1,758
123,1,46570,1,755
124,1,46550,1,760
125,1,46710,1,754
126,1,46690,1,759
127,1,46604,1,605
128,1,46505,1,604
129,1,46503,1,606
130,1,46704,1,601
131,1,46602,1,607
132,1,46700,1,602
133,1,46605,1,603
134,1,49400,1,712
135,1,30301,1,109
136,1,32100,1,101
137,1,32000,1,114
138,1,32200,1,117
139,1,34200,1,112
140,1,40006,1,302
141,1,43400,0,307
142,1,43501,0,301
143,2,38000,1,122
144,2,30301,1,113
145,2,30001,1,117
146,2,38101,1,101
147,2,32100,1,111
148,2,32001,1,120
149,2,32101,1,104
150,2,34102,1,307
151,2,34200,1,110
152,2,34103,1,103
153,2,34200,1,313
154,2,43010,0,351
155,2,41000,1,108
156,2,41000,1,314
157,2,41000,1,310
158,2,45000,1,306
159,2,40004,1,305
160,2,43501,0,312
161,2,43401,0,308
162,2,46880,1,757
163,2,46640,1,756
164,2,49410,1,190
165,2,46580,1,754
166,2,46630,1,763
167,2,46680,1,755
168,2,46520,1,760
169,2,46770,1,759
170,2,46550,1,753
171,2,46720,1,750
172,2,46650,1,762
173,2,46710,1,761
174,2,46510,1,758
175,2,46604,1,605
176,2,46504,1,606
177,2,46606,1,604
178,2,46704,1,601
179,2,46702,1,607
180,2,46605,1,602
181,2,46502,1,603
182,2,30301,1,106
183,2,30301,1,109
184,2,38000,1,112
185,2,34103,1,107
186,2,34102,1,114
187,2,43501,0,300
188,2,43401,0,302
189,2,43501,0,313
190,3,38100,1,129
191,3,30301,1,104
192,3,30001,1,110
193,3,38000,1,114
194,3,32101,1,101
195,3,32001,1,106
196,3,32201,1,313
197,3,34000,1,120
198,3,34100,1,112
199,3,34101,1,100
200,3,34101,1,113
201,3,43020,0,364
202,3,41000,1,306
203,3,41000,1,305
204,3,41000,1,116
205,3,45000,1,108
206,3,40005,1,302
207,3,43000,0,312
208,3,43501,0,310
209,3,46820,1,757
210,3,46740,1,756
211,3,49410,1,190
212,3,46520,1,754
213,3,46530,1,761
214,3,46540,1,763
215,3,46630,1,750
216,3,46650,1,759
217,3,46550,1,762
218,3,46710,1,755
219,3,45510,1,760
220,3,46570,1,753
221,3,46690,1,758
222,3,46605,1,604
223,3,46700,1,605
224,3,46602,1,602
225,3,46503,1,607
226,3,46505,1,601
227,3,46701,1,606
228,3,46604,1,603
229,3,34101,1,109
230,3,34101,1,117
231,3,34000,1,103
232,3,34000,1,307
233,3,34101,1,107
234,3,37900,1,308
235,3,40008,1,300
236,3,43000,0,301
237,4,38001,1,125
238,4,30301,1,107
239,4,30001,1,101
240,4,38000,1,111
241,4,32200,1,110
242,4,32001,1,313
243,4,32000,1,113
244,4,34200,1,104
245,4,34001,1,117
246,4,34000,1,106
247,4,34200,1,109
248,4,43010,0,357
249,4,41000,1,306
250,4,41000,1,301
251,4,41000,1,310
252,4,45000,1,312
253,4,40008,1,305
254,4,43501,0,313
255,4,43001,0,308
256,4,46950,1,757
257,4,46680,1,756
258,4,49410,1,190
259,4,46640,1,762
260,4,46580,1,754
261,4,46520,1,759
262,4,46670,1,750
263,4,46570,1,760
264,4,46650,1,753
265,4,46710,1,763
266,4,46720,1,758
267,4,46550,1,755
268,4,46590,1,761
269,4,46060,0,646
270,4,46050,0,661
271,4,46000,0,619
272,4,46040,0,653
273,4,46020,0,642
274,4,46030,0,625
275,4,46010,0,657
276,4,46040,0,627
277,4,46050,0,617
278,4,46000,0,628
279,4,46000,0,638
280,4,46050,0,662
281,4,46040,0,632
282,4,46040,0,654
283,4,46040,0,647
284,4,46020,0,660
285,4,46000,0,618
286,4,46010,0,615
287,4,46040,0,648
288,4,46060,0,629
289,4,46060,0,651
290,4,46060,0,624
291,4,46010,0,623
292,4,46030,0,630
293,4,46040,0,633
294,4,46030,0,649
295,4,46050,0,631
296,4,46060,0,635
297,4,46010,0,626
298,4,46000,0,639
299,4,46030,0,621
300,4,46000,0,655
301,4,46030,0,643
302,4,46050,0,659
303,4,46050,0,645
304,4,46060,0,616
305,4,46060,0,620
306,4,46050,0,644
307,4,46000,0,656
308,4,46020,0,636
309,4,46010,0,658
310,4,46010,0,641
311,4,46030,0,622
312,4,46010,0,650
313,4,46020,0,634
314,4,46060,0,640
315,4,46020,0,652
316,4,46030,0,637
317,4,46703,1,606
318,4,46602,1,602
319,4,46604,1,605
320,4,46605,1,601
321,4,46503,1,607
322,4,46701,1,604
323,4,46502,1,603
324,4,30301,1,112
325,4,32001,1,103
326,4,34001,1,120
327,4,34001,1,100
328,4,34200,1,114
329,4,37900,1,314
330,4,45000,1,302
331,4,40006,1,300
332,5,38001,1,126
333,5,30301,1,100
334,5,30001,1,111
335,5,38000,1,109
336,5,32001,1,106
337,5,32000,1,112
338,5,32200,1,120
339,5,34100,1,104
340,5,34000,1,117
341,5,34200,1,114
342,5,34200,1,103
343,5,45010,1,358
344,5,41000,1,301
345,5,41000,1,108
346,5,41000,1,312
347,5,45000,1,306
348,5,40009,1,300
349,5,43001,0,310
350,5,43000,0,313
351,5,46910,1,757
352,5,46540,1,756
353,5,49430,1,190
354,5,46660,1,759
355,5,46580,1,755
356,5,46740,1,762
357,5,46680,1,754
358,5,46720,1,758
359,5,46510,1,753
360,5,46590,1,761
361,5,46570,1,763
362,5,46690,1,750
363,5,46620,1,760
364,5,46060,0,657
365,5,46000,0,650
366,5,46030,0,652
367,5,46020,0,627
368,5,46040,0,626
369,5,46050,0,635
370,5,46010,0,616
371,5,46000,0,618
372,5,46000,0,617
373,5,46050,0,658
374,5,46040,0,619
375,5,46030,0,659
376,5,46040,0,655
377,5,46060,0,624
378,5,46040,0,636
379,5,46060,0,662
380,5,46060,0,648
381,5,46060,0,631
382,5,46040,0,643
383,5,46010,0,656
384,5,46040,0,647
385,5,46010,0,622
386,5,46050,0,645
387,5,46040,0,644
388,5,46000,0,660
389,5,46000,0,661
390,5,46030,0,651
391,5,46010,0,625
392,5,46020,0,642
393,5,46020,0,629
394,5,46000,0,620
395,5,46050,0,639
396,5,46030,0,641
397,5,46050,0,621
398,5,46060,0,632
399,5,46010,0,653
400,5,46010,0,638
401,5,46020,0,634
402,5,46010,0,633
403,5,46060,0,628
404,5,46050,0,637
405,5,46050,0,615
406,5,46030,0,646
407,5,46060,0,623
408,5,46000,0,640
409,5,46020,0,654
410,5,46020,0,630
411,5,46020,0,649
412,5,46605,1,606
413,5,46606,1,604
414,5,46701,1,601
415,5,46505,1,607
416,5,46703,1,602
417,5,46604,1,605
418,5,46503,1,603
419,5,38001,1,107
420,5,32001,1,313
421,5,32000,1,113
